127.0.0.1 - - [29/Aug/2023:23:45:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:45:13 +0900] "GET /heabom/myPage.me HTTP/1.1" 500 3446
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:45:13 +0900] "GET /heabom/myPage.me HTTP/1.1" 500 3446
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:45:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:49:05 +0900] "GET /heabom/ HTTP/1.1" 200 4680
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:49:05 +0900] "GET /heabom/img/KakaoTalk_20230814_140248577_04.png HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:49:14 +0900] "GET /heabom/login.me?memId=admin&memPwd=admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:49:14 +0900] "GET /heabom HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:49:14 +0900] "GET /heabom/ HTTP/1.1" 200 3302
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:49:14 +0900] "GET /heabom/img/KakaoTalk_20230814_140248577_04.png HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:49:16 +0900] "GET /heabom/myPage.me HTTP/1.1" 200 15278
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:49:16 +0900] "GET /heabom/img/KakaoTalk_20230814_140248577_04.png HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:07 +0900] "GET /heabom/myVisitAjax.do HTTP/1.1" 200 3653
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:10 +0900] "GET /heabom/myQnaDetailAjax.do?memNo=SEQ_MNO.NEXTVAL1 HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:11 +0900] "GET /heabom/myBoardAjax.do?memNo=SEQ_MNO.NEXTVAL1 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:12 +0900] "GET /heabom/myQnaDetailAjax.do?memNo=SEQ_MNO.NEXTVAL1 HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:19 +0900] "GET /heabom/myReivewAjax.do?memNo=SEQ_MNO.NEXTVAL1 HTTP/1.1" 500 1764
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:20 +0900] "GET /heabom/myReivewAjax.do?memNo=SEQ_MNO.NEXTVAL1 HTTP/1.1" 500 1764
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:21 +0900] "GET /heabom/myReivewAjax.do?memNo=SEQ_MNO.NEXTVAL1 HTTP/1.1" 500 1764
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:21 +0900] "GET /heabom/myFavoritAjax.do HTTP/1.1" 200 4598
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:22 +0900] "GET /heabom/myReivewAjax.do?memNo=SEQ_MNO.NEXTVAL1 HTTP/1.1" 500 1764
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:22 +0900] "GET /heabom/myFavoritAjax.do HTTP/1.1" 200 4598
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:23 +0900] "GET /heabom/myVisitAjax.do HTTP/1.1" 200 3653
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:23 +0900] "GET /heabom/myVisitAjax.do HTTP/1.1" 200 3653
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:24 +0900] "GET /heabom/myBoardAjax.do?memNo=SEQ_MNO.NEXTVAL1 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:24 +0900] "GET /heabom/myPlaceAjax.do?memNo=SEQ_MNO.NEXTVAL1 HTTP/1.1" 200 4638
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:24 +0900] "GET /heabom/myBoardAjax.do?memNo=SEQ_MNO.NEXTVAL1 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:25 +0900] "GET /heabom/myBoardAjax.do?memNo=SEQ_MNO.NEXTVAL1 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:26 +0900] "GET /heabom/myQnaDetailAjax.do?memNo=SEQ_MNO.NEXTVAL1 HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:26 +0900] "GET /heabom/myFavoritAjax.do HTTP/1.1" 200 4598
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:27 +0900] "GET /heabom/myVisitAjax.do HTTP/1.1" 200 3653
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:27 +0900] "GET /heabom/myPlaceAjax.do?memNo=SEQ_MNO.NEXTVAL1 HTTP/1.1" 200 4638
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:28 +0900] "GET /heabom/myPlaceAjax.do?memNo=SEQ_MNO.NEXTVAL1 HTTP/1.1" 200 4638
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:50:29 +0900] "GET /heabom/myPlaceAjax.do?memNo=SEQ_MNO.NEXTVAL1 HTTP/1.1" 200 4638
